id,value
0,756497
1,610573
2,648106
3,578142
4,383241
5,882013
6,975158
7,926564
8,409439
9,184218
10,103571
11,344390
12,835082
13,769846
14,256355
15,546321
16,334154
17,480734
18,86318
19,152931
20,853634
21,799010
22,73770
23,284524
24,414234
25,487714
26,986090
27,971439
28,778654
29,183282
30,22446
31,532714
32,763516
33,389127
34,892984
35,302512
36,362734
37,937731
38,489009
39,342538
40,522918
41,138082
42,989150
43,68696
44,365533
45,505947
46,216251
47,41519
48,885857
49,186378
50,810675
51,522476
52,675415
53,921027
54,317971
55,781992
56,12393
57,687261
58,602293
59,560133
60,743645
61,941708
62,91725
63,527110
64,742268
65,737804
66,237595
67,68380
68,366303
69,855077
70,227150
71,227837
72,266987
73,477288
74,427375
75,182682
76,99075
77,887246
78,257512
79,194816
80,171102
81,108019
82,188792
83,586153
84,840067
85,413404
86,352128
87,919034
88,502852
89,154975
90,797979
91,227965
92,365814
93,408654
94,797339
95,845189
96,784321
97,530684
98,698777
99,90144
100,855621
101,831043
102,763665
103,851649
104,121262
105,221750
106,90236
107,881680
108,689412
109,878182
110,206814
111,440933
112,822751
113,663426
114,165547
115,788846
116,54228
117,308872
118,203
119,894604
120,190823
121,118643
122,225057
123,660642
124,144539
125,271143
126,646630
127,896483
128,390244
129,627904
130,136021
131,258260
132,991519
133,328095
134,166776
135,378092
136,558587
137,346438
138,861761
139,447483
140,206451
141,622977
142,12175
143,590240
144,566747
145,335037
146,32869
147,462924
148,173405
149,374879
150,100320
151,654638
152,90075
153,120971
154,783122
155,623006
156,476359
157,146467
158,319551
159,99471
160,900271
161,595385
162,322764
163,124596
164,595907
165,575153
166,101394
167,132822
168,538200
169,63597
170,971809
171,796195
172,160714
173,509114
174,907994
175,657853
176,777779
177,514688
178,626024
179,938592
180,288885
181,739561
182,732307
183,283657
184,541104
185,426803
186,878244
187,631885
188,804385
189,770668
190,958705
191,835680
192,174964
193,674559
194,267675
195,137783
196,363681
197,318567
198,181650
199,119625
200,248896
201,354979
202,379856
203,276083
204,777756
205,480812
206,830088
207,942732
208,284948
209,598338
210,769908
211,904244
212,64655
213,767723
214,695234
215,646366
216,79296
217,680351
218,931753
219,878948
220,17717
221,437010
222,709385
223,653785
224,525877
225,2094
226,785948
227,128565
228,324643
229,823091
230,573436
231,787025
232,102190
233,754065
234,408786
235,715428
236,522574
237,602502
238,80734
239,356791
240,427428
241,330796
242,975331
243,16814
244,324310
245,186815
246,234951
247,279258
248,553088
249,812424
250,139033
251,403553
252,100855
253,684460
254,509612
255,723709
256,896221
257,79623
258,320585
259,45155
260,555413
261,122863
262,846946
263,44887
264,975484
265,378294
266,628679
267,720379
268,874026
269,872303
270,243707
271,3992
272,360134
273,400448
274,385312
275,762129
276,887972
277,462907
278,21629
279,532217
280,492135
281,197650
282,478307
283,515600
284,33116
285,236161
286,130175
287,540730
288,291529
289,493466
290,13690
291,938581
292,141342
293,522379
294,79214
295,531011
296,705228
297,211291
298,990598
299,222802
300,349242
301,285502
302,349319
303,9451
304,609381
305,283984
306,971364
307,565257
308,659199
309,426666
310,377300
311,960114
312,725473
313,61705
314,969429
315,468385
316,938046
317,187911
318,464667
319,879577
320,460317
321,884364
322,27757
323,198041
324,388426
325,347471
326,206652
327,127741
328,830085
329,635090
330,210385
331,278133
332,778038
333,148027
334,289458
335,598536
336,878553
337,341124
338,979782
339,150863
340,961906
341,149332
342,753392
343,964414
344,249685
345,138538
346,182672
347,381447
348,482838
349,446636
350,69532
351,998534
352,824750
353,167197
354,116959
355,36253
356,285223
357,946285
358,627590
359,728563
360,584097
361,212363
362,402441
363,113229
364,827333
365,639923
366,482628
367,425974
368,103763
369,159344
370,627938
371,153557
372,127271
373,68698
374,458271
375,684775
376,347061
377,577600
378,997514
379,413423
380,527739
381,418873
382,954093
383,93543
384,661307
385,719
386,448434
387,224808
388,214764
389,940252
390,54815
391,254707
392,139845
393,718646
394,963521
395,424218
396,775560
397,628834
398,788986
399,154947
400,759521
401,148602
402,50563
403,978249
404,330656
405,365082
406,634779
407,140649
408,953766
409,101069
410,611434
411,184898
412,25469
413,949239
414,620599
415,2303
416,531444
417,507276
418,673581
419,79521
420,916468
421,725072
422,618111
423,921749
424,101617
425,424565
426,706522
427,924354
428,537081
429,733473
430,675381
431,286195
432,414394
433,386067
434,496040
435,910496
436,678516
437,587307
438,487776
439,622888
440,278002
441,411076
442,798695
443,451256
444,170637
445,508913
446,354264
447,158372
448,962256
449,242540
450,249340
451,695781
452,698055
453,221684
454,216794
455,756214
